date,crop,variety,market,district,state,min_price,max_price,modal_price,arrivals
2026-02-18,Bajra,Local,Azadpur,New Delhi,Delhi,2035.62,2642.38,2356.42,1427.06
2026-02-18,Bajra,Local,Bowenpally,Hyderabad,Telangana,1776.97,2487.89,2155.78,500.81
2026-02-18,Bajra,Local,Koyambedu,Chennai,Tamil Nadu,2034.99,2597.02,2257.48,747.97
2026-02-18,Bajra,Local,Vashi,Mumbai,Maharashtra,2083.07,2670.56,2447.97,1086.2
2026-02-18,Bajra,Local,Yeshwanthpur,Bangalore,Karnataka,2014.24,2591.68,2203.51,614.97
2026-02-18,Barley,Local,Azadpur,New Delhi,Delhi,2158.41,2880.69,2586.27,176.05
2026-02-18,Barley,Local,Bowenpally,Hyderabad,Telangana,1980.89,2676.28,2343.62,67.87
2026-02-18,Barley,Local,Koyambedu,Chennai,Tamil Nadu,2031.87,2766.64,2460.67,86.58
2026-02-18,Barley,Local,Vashi,Mumbai,Maharashtra,2354.88,2928.69,2646.14,204.98
2026-02-18,Barley,Local,Yeshwanthpur,Bangalore,Karnataka,1991.34,2669.92,2415.17,88.81
2026-02-18,Bengal Gram,Whole,Azadpur,New Delhi,Delhi,5427.93,7020.36,6370.04,3855.59
2026-02-18,Bengal Gram,Whole,Bowenpally,Hyderabad,Telangana,4998.91,6335.8,5684.99,1223.55
2026-02-18,Bengal Gram,Whole,Koyambedu,Chennai,Tamil Nadu,5441.14,7095.92,6069.63,1870.05
2026-02-18,Bengal Gram,Whole,Vashi,Mumbai,Maharashtra,5358.08,7274.68,6505.14,2753.29
2026-02-18,Bengal Gram,Whole,Yeshwanthpur,Bangalore,Karnataka,4955.85,6890.75,5937.82,1531.23
2026-02-18,Black Gram,Whole,Azadpur,New Delhi,Delhi,6838.84,9038.9,8122.39,426.5
2026-02-18,Black Gram,Whole,Bowenpally,Hyderabad,Telangana,6534.93,8002.47,7366.0,140.83
2026-02-18,Black Gram,Whole,Koyambedu,Chennai,Tamil Nadu,6804.38,8543.13,7693.66,131.97
2026-02-18,Black Gram,Whole,Vashi,Mumbai,Maharashtra,7429.46,9260.06,8421.11,270.21
2026-02-18,Black Gram,Whole,Yeshwanthpur,Bangalore,Karnataka,6846.76,8747.67,7534.84,105.36
2026-02-18,Copra,Milling,Azadpur,New Delhi,Delhi,18548.39,22277.05,20229.21,164.47
2026-02-18,Copra,Milling,Bowenpally,Hyderabad,Telangana,15112.0,20070.23,18301.12,79.13
2026-02-18,Copra,Milling,Koyambedu,Chennai,Tamil Nadu,16313.86,21906.92,19224.83,101.82
2026-02-18,Copra,Milling,Vashi,Mumbai,Maharashtra,17976.73,24326.73,20859.67,125.59
2026-02-18,Copra,Milling,Yeshwanthpur,Bangalore,Karnataka,16676.09,21888.2,18838.23,67.3
2026-02-18,Cotton,Medium Staple,Azadpur,New Delhi,Delhi,8744.4,11569.62,10279.32,284.58
2026-02-18,Cotton,Medium Staple,Bowenpally,Hyderabad,Telangana,8290.94,10730.87,9369.04,105.41
2026-02-18,Cotton,Medium Staple,Koyambedu,Chennai,Tamil Nadu,8683.06,10711.19,9839.47,141.21
2026-02-18,Cotton,Medium Staple,Vashi,Mumbai,Maharashtra,9170.11,12438.07,10589.65,206.59
2026-02-18,Cotton,Medium Staple,Yeshwanthpur,Bangalore,Karnataka,7971.22,11108.77,9654.19,134.11
2026-02-18,Green Gram,Whole,Azadpur,New Delhi,Delhi,6276.96,7909.57,7242.74,6738.29
2026-02-18,Green Gram,Whole,Bowenpally,Hyderabad,Telangana,5845.91,7470.28,6483.32,3050.93
2026-02-18,Green Gram,Whole,Koyambedu,Chennai,Tamil Nadu,5748.04,7400.36,6776.58,4290.53
2026-02-18,Green Gram,Whole,Vashi,Mumbai,Maharashtra,6559.04,8273.74,7433.73,6379.67
2026-02-18,Green Gram,Whole,Yeshwanthpur,Bangalore,Karnataka,5772.32,7281.31,6668.17,3904.35
2026-02-18,Groundnut,Bold,Azadpur,New Delhi,Delhi,6314.65,8692.08,7586.08,803.32
2026-02-18,Groundnut,Bold,Bowenpally,Hyderabad,Telangana,6326.5,7857.12,6933.32,541.69
2026-02-18,Groundnut,Bold,Koyambedu,Chennai,Tamil Nadu,6434.65,8095.55,7311.05,556.4
2026-02-18,Groundnut,Bold,Vashi,Mumbai,Maharashtra,6798.94,8443.1,7816.09,680.31
2026-02-18,Groundnut,Bold,Yeshwanthpur,Bangalore,Karnataka,6319.5,7986.81,7170.39,432.59
2026-02-18,Jowar,Local,Azadpur,New Delhi,Delhi,3276.19,4288.28,3875.47,316.6
2026-02-18,Jowar,Local,Bowenpally,Hyderabad,Telangana,3164.33,3890.17,3491.15,149.15
2026-02-18,Jowar,Local,Koyambedu,Chennai,Tamil Nadu,3173.93,4131.78,3664.96,228.76
2026-02-18,Jowar,Local,Vashi,Mumbai,Maharashtra,3351.05,4569.26,3991.14,339.4
2026-02-18,Jowar,Local,Yeshwanthpur,Bangalore,Karnataka,3163.91,4109.49,3588.0,191.38
2026-02-18,Lentil,Whole,Azadpur,New Delhi,Delhi,7359.1,9088.52,8277.34,632.59
2026-02-18,Lentil,Whole,Bowenpally,Hyderabad,Telangana,6451.7,8549.23,7402.45,234.74
2026-02-18,Lentil,Whole,Koyambedu,Chennai,Tamil Nadu,6190.97,8618.76,7471.57,275.29
2026-02-18,Lentil,Whole,Vashi,Mumbai,Maharashtra,7072.07,9255.07,8523.8,555.1
2026-02-18,Lentil,Whole,Yeshwanthpur,Bangalore,Karnataka,6399.36,8820.38,7629.25,297.85
2026-02-18,Maize,Local,Azadpur,New Delhi,Delhi,2007.03,2564.11,2358.08,21570.63
2026-02-18,Maize,Local,Bowenpally,Hyderabad,Telangana,1653.3,2230.4,1897.25,9157.11
2026-02-18,Maize,Local,Koyambedu,Chennai,Tamil Nadu,1708.65,2310.34,1996.29,12536.9
2026-02-18,Maize,Local,Vashi,Mumbai,Maharashtra,1994.04,2633.85,2362.41,17180.73
2026-02-18,Maize,Local,Yeshwanthpur,Bangalore,Karnataka,1677.85,2300.94,1951.48,9604.73
2026-02-18,Mustard,Local,Azadpur,New Delhi,Delhi,6998.96,8918.9,8035.43,2561.92
2026-02-18,Mustard,Local,Bowenpally,Hyderabad,Telangana,6577.25,8309.72,7289.08,998.24
2026-02-18,Mustard,Local,Koyambedu,Chennai,Tamil Nadu,7014.52,8490.07,7651.0,1460.34
2026-02-18,Mustard,Local,Vashi,Mumbai,Maharashtra,7409.92,9242.62,8263.98,2478.21
2026-02-18,Mustard,Local,Yeshwanthpur,Bangalore,Karnataka,6257.97,8213.51,7585.46,1125.84
2026-02-18,Niger Seed,Local,Azadpur,New Delhi,Delhi,11705.92,15223.62,13409.7,19.7
2026-02-18,Niger Seed,Local,Bowenpally,Hyderabad,Telangana,10095.78,13273.9,12196.04,8.58
2026-02-18,Niger Seed,Local,Koyambedu,Chennai,Tamil Nadu,10912.38,14088.55,12740.94,9.84
2026-02-18,Niger Seed,Local,Vashi,Mumbai,Maharashtra,12131.46,16159.15,13771.14,15.25
2026-02-18,Niger Seed,Local,Yeshwanthpur,Bangalore,Karnataka,11022.9,13839.67,12536.16,11.66
2026-02-18,Onion,Nasik Red,Azadpur,New Delhi,Delhi,2117.21,2760.42,2426.54,34447.47
2026-02-18,Onion,Nasik Red,Bowenpally,Hyderabad,Telangana,1855.2,2507.84,2177.12,12417.0
2026-02-18,Onion,Nasik Red,Koyambedu,Chennai,Tamil Nadu,2035.31,2493.04,2284.67,16367.6
2026-02-18,Onion,Nasik Red,Vashi,Mumbai,Maharashtra,2134.13,2925.36,2498.64,25089.49
2026-02-18,Onion,Nasik Red,Yeshwanthpur,Bangalore,Karnataka,1887.71,2490.95,2242.49,15201.56
2026-02-18,Paddy,Common,Azadpur,New Delhi,Delhi,2769.48,3579.98,3089.08,17744.8
2026-02-18,Paddy,Common,Bowenpally,Hyderabad,Telangana,2378.6,3061.79,2793.75,6509.75
2026-02-18,Paddy,Common,Koyambedu,Chennai,Tamil Nadu,2654.96,3181.01,2927.87,6826.4
2026-02-18,Paddy,Common,Vashi,Mumbai,Maharashtra,2684.66,3453.59,3169.3,11797.28
2026-02-18,Paddy,Common,Yeshwanthpur,Bangalore,Karnataka,2611.55,3300.37,2901.33,8083.14
2026-02-18,Potato,Local,Azadpur,New Delhi,Delhi,429.47,554.64,507.5,31093.38
2026-02-18,Potato,Local,Bowenpally,Hyderabad,Telangana,405.46,484.42,441.99,18702.38
2026-02-18,Potato,Local,Koyambedu,Chennai,Tamil Nadu,426.0,549.08,469.29,25642.7
2026-02-18,Potato,Local,Vashi,Mumbai,Maharashtra,425.91,588.05,511.08,28091.78
2026-02-18,Potato,Local,Yeshwanthpur,Bangalore,Karnataka,401.22,501.18,452.12,19596.32
2026-02-18,Ragi,Local,Azadpur,New Delhi,Delhi,3283.15,4411.12,3982.68,97.93
2026-02-18,Ragi,Local,Bowenpally,Hyderabad,Telangana,3234.02,4021.7,3618.58,44.68
2026-02-18,Ragi,Local,Koyambedu,Chennai,Tamil Nadu,3140.31,4229.83,3799.23,66.69
2026-02-18,Ragi,Local,Vashi,Mumbai,Maharashtra,3619.11,4505.77,4116.68,85.06
2026-02-18,Ragi,Local,Yeshwanthpur,Bangalore,Karnataka,2955.87,3961.02,3443.59,52.11
2026-02-18,Red Gram,Whole,Azadpur,New Delhi,Delhi,6371.09,8397.3,7489.71,941.46
2026-02-18,Red Gram,Whole,Bowenpally,Hyderabad,Telangana,6041.58,7687.92,6753.6,393.88
2026-02-18,Red Gram,Whole,Koyambedu,Chennai,Tamil Nadu,6012.97,7808.1,7137.11,511.5
2026-02-18,Red Gram,Whole,Vashi,Mumbai,Maharashtra,6595.47,8998.33,7742.28,746.29
2026-02-18,Red Gram,Whole,Yeshwanthpur,Bangalore,Karnataka,6384.27,7677.54,6986.02,423.32
2026-02-18,Safflower,Local,Azadpur,New Delhi,Delhi,5029.96,6223.63,5524.7,44.96
2026-02-18,Safflower,Local,Bowenpally,Hyderabad,Telangana,4445.33,5642.94,4965.32,16.87
2026-02-18,Safflower,Local,Koyambedu,Chennai,Tamil Nadu,4291.48,5983.6,5220.98,27.7
2026-02-18,Safflower,Local,Vashi,Mumbai,Maharashtra,5101.12,6515.64,5608.61,32.71
2026-02-18,Safflower,Local,Yeshwanthpur,Bangalore,Karnataka,4384.26,5945.83,5119.04,24.51
2026-02-18,Sesamum,Local,Azadpur,New Delhi,Delhi,9514.66,13526.51,11593.16,184.79
2026-02-18,Sesamum,Local,Bowenpally,Hyderabad,Telangana,9344.49,12062.76,10458.25,97.56
2026-02-18,Sesamum,Local,Koyambedu,Chennai,Tamil Nadu,9259.77,12312.35,10450.03,128.6
2026-02-18,Sesamum,Local,Vashi,Mumbai,Maharashtra,9988.62,14151.09,12002.98,160.17
2026-02-18,Sesamum,Local,Yeshwanthpur,Bangalore,Karnataka,9175.72,12527.35,10919.77,109.05
2026-02-18,Soyabean,Local,Azadpur,New Delhi,Delhi,5668.5,7164.8,6522.74,5686.06
2026-02-18,Soyabean,Local,Bowenpally,Hyderabad,Telangana,5182.79,6577.33,5866.05,2296.73
2026-02-18,Soyabean,Local,Koyambedu,Chennai,Tamil Nadu,5537.54,6860.43,6148.89,3155.93
2026-02-18,Soyabean,Local,Vashi,Mumbai,Maharashtra,5773.94,7725.78,6670.51,5499.7
2026-02-18,Soyabean,Local,Yeshwanthpur,Bangalore,Karnataka,5007.69,7035.55,6046.73,1830.41
2026-02-18,Sunflower,Local,Azadpur,New Delhi,Delhi,7228.8,9630.73,8371.82,132.02
2026-02-18,Sunflower,Local,Bowenpally,Hyderabad,Telangana,6287.05,8841.47,7577.47,58.22
2026-02-18,Sunflower,Local,Koyambedu,Chennai,Tamil Nadu,7353.02,8885.69,7992.5,52.84
2026-02-18,Sunflower,Local,Vashi,Mumbai,Maharashtra,7447.76,9666.68,8617.86,122.36
2026-02-18,Sunflower,Local,Yeshwanthpur,Bangalore,Karnataka,6978.87,8391.21,7768.09,59.59
2026-02-18,Tomato,Local,Azadpur,New Delhi,Delhi,1551.7,2062.9,1811.49,12159.77
2026-02-18,Tomato,Local,Bowenpally,Hyderabad,Telangana,1413.45,1859.55,1659.4,5212.65
2026-02-18,Tomato,Local,Koyambedu,Chennai,Tamil Nadu,1584.68,2014.77,1726.64,5940.4
2026-02-18,Tomato,Local,Vashi,Mumbai,Maharashtra,1615.8,2156.88,1858.66,8622.95
2026-02-18,Tomato,Local,Yeshwanthpur,Bangalore,Karnataka,1458.97,1980.8,1700.32,3869.32
2026-02-18,Wheat,Local,Azadpur,New Delhi,Delhi,2437.86,3088.66,2808.0,37560.05
2026-02-18,Wheat,Local,Bowenpally,Hyderabad,Telangana,2202.57,2840.64,2555.36,17619.31
2026-02-18,Wheat,Local,Koyambedu,Chennai,Tamil Nadu,2300.33,3134.5,2690.68,24511.99
2026-02-18,Wheat,Local,Vashi,Mumbai,Maharashtra,2487.8,3275.39,2868.56,28957.45
2026-02-18,Wheat,Local,Yeshwanthpur,Bangalore,Karnataka,2209.5,3074.33,2643.96,20411.1
2026-02-19,Bajra,Local,Azadpur,New Delhi,Delhi,2113.99,2586.91,2368.55,1102.09
2026-02-19,Bajra,Local,Bowenpally,Hyderabad,Telangana,1868.68,2354.63,2161.23,518.74
2026-02-19,Bajra,Local,Koyambedu,Chennai,Tamil Nadu,1915.54,2487.16,2258.4,790.75
2026-02-19,Bajra,Local,Vashi,Mumbai,Maharashtra,2216.49,2862.53,2456.28,533.65
2026-02-19,Bajra,Local,Yeshwanthpur,Bangalore,Karnataka,1999.02,2540.51,2203.35,621.93
2026-02-19,Barley,Local,Azadpur,New Delhi,Delhi,2300.04,3033.7,2585.06,204.46
2026-02-19,Barley,Local,Bowenpally,Hyderabad,Telangana,2041.72,2712.35,2337.61,79.18
2026-02-19,Barley,Local,Koyambedu,Chennai,Tamil Nadu,2164.51,2740.6,2464.35,103.81
2026-02-19,Barley,Local,Vashi,Mumbai,Maharashtra,2362.32,2983.67,2650.98,148.52
2026-02-19,Barley,Local,Yeshwanthpur,Bangalore,Karnataka,2210.05,2800.18,2419.74,79.94
2026-02-19,Bengal Gram,Whole,Azadpur,New Delhi,Delhi,5435.97,7384.62,6396.63,3040.36
2026-02-19,Bengal Gram,Whole,Bowenpally,Hyderabad,Telangana,4842.89,6641.91,5691.55,1093.74
2026-02-19,Bengal Gram,Whole,Koyambedu,Chennai,Tamil Nadu,5031.46,6820.58,6031.73,1303.42
2026-02-19,Bengal Gram,Whole,Vashi,Mumbai,Maharashtra,5698.64,7198.66,6568.83,2388.15
2026-02-19,Bengal Gram,Whole,Yeshwanthpur,Bangalore,Karnataka,5267.06,6897.8,5940.27,1352.38
2026-02-19,Black Gram,Whole,Azadpur,New Delhi,Delhi,7205.85,9475.71,8144.11,297.92
2026-02-19,Black Gram,Whole,Bowenpally,Hyderabad,Telangana,6345.7,8026.53,7413.2,109.59
2026-02-19,Black Gram,Whole,Koyambedu,Chennai,Tamil Nadu,6653.68,8574.92,7726.62,138.85
