date,crop,variety,market,district,state,min_price,max_price,modal_price,arrivals
2026-08-01,Bajra,Local,Azadpur,New Delhi,Delhi,2474.12,3289.45,2796.41,2177.74
2026-08-01,Bajra,Local,Bowenpally,Hyderabad,Telangana,1976.84,2590.26,2251.6,970.08
2026-08-01,Bajra,Local,Koyambedu,Chennai,Tamil Nadu,1881.43,2538.99,2232.18,1161.98
2026-08-01,Bajra,Local,Vashi,Mumbai,Maharashtra,2343.58,2874.19,2585.72,1476.75
2026-08-01,Bajra,Local,Yeshwanthpur,Bangalore,Karnataka,1901.24,2417.05,2172.88,928.93
2026-08-01,Barley,Local,Azadpur,New Delhi,Delhi,2180.09,2747.2,2486.07,295.2
2026-08-01,Barley,Local,Bowenpally,Hyderabad,Telangana,1781.29,2382.71,2023.02,121.38
2026-08-01,Barley,Local,Koyambedu,Chennai,Tamil Nadu,2024.18,2426.59,2233.35,143.88
2026-08-01,Barley,Local,Vashi,Mumbai,Maharashtra,1996.75,2620.54,2233.97,230.66
2026-08-01,Barley,Local,Yeshwanthpur,Bangalore,Karnataka,1981.27,2582.41,2191.41,123.93
2026-08-01,Bengal Gram,Whole,Azadpur,New Delhi,Delhi,5322.98,7587.78,6450.56,5133.3
2026-08-01,Bengal Gram,Whole,Bowenpally,Hyderabad,Telangana,5341.71,6922.66,6144.87,1888.05
2026-08-01,Bengal Gram,Whole,Koyambedu,Chennai,Tamil Nadu,5569.4,7472.84,6443.65,2551.46
2026-08-01,Bengal Gram,Whole,Vashi,Mumbai,Maharashtra,6375.98,8524.58,7491.7,3688.29
2026-08-01,Bengal Gram,Whole,Yeshwanthpur,Bangalore,Karnataka,5990.92,7842.06,6655.83,2115.96
2026-08-01,Black Gram,Whole,Azadpur,New Delhi,Delhi,7894.7,9854.23,8845.28,401.02
2026-08-01,Black Gram,Whole,Bowenpally,Hyderabad,Telangana,7236.7,9413.37,8053.72,192.62
2026-08-01,Black Gram,Whole,Koyambedu,Chennai,Tamil Nadu,8809.78,10634.06,9576.16,237.81
2026-08-01,Black Gram,Whole,Vashi,Mumbai,Maharashtra,8697.27,11159.5,9761.97,384.65
2026-08-01,Black Gram,Whole,Yeshwanthpur,Bangalore,Karnataka,6923.89,9284.33,7936.74,230.48
2026-08-01,Copra,Milling,Azadpur,New Delhi,Delhi,19461.07,25008.97,21881.31,275.64
2026-08-01,Copra,Milling,Bowenpally,Hyderabad,Telangana,14239.72,19137.02,16709.0,80.51
2026-08-01,Copra,Milling,Koyambedu,Chennai,Tamil Nadu,18821.88,25076.62,21346.53,125.3
2026-08-01,Copra,Milling,Vashi,Mumbai,Maharashtra,18790.96,24831.16,21761.52,184.07
2026-08-01,Copra,Milling,Yeshwanthpur,Bangalore,Karnataka,15806.73,21033.94,18985.62,145.05
2026-08-01,Cotton,Medium Staple,Azadpur,New Delhi,Delhi,8869.18,11339.84,9896.87,356.95
